N,Torch (GB/s),Naive (GB/s),Triton (GB/s)
512.000000,416.369017,129.566580,409.949398
768.000000,430.081923,115.686458,443.604897
1024.000000,442.493896,114.904217,453.903711
1280.000000,436.175397,115.364682,455.172827
1536.000000,437.344298,115.879933,463.854636
1792.000000,442.982633,116.525253,467.859578
2048.000000,437.243869,117.042505,470.977414
2304.000000,440.955482,117.269138,472.488010
2560.000000,459.745572,117.420919,471.484173
2816.000000,475.180466,116.875621,473.186120
3072.000000,485.645551,117.108872,473.287420
3328.000000,483.497991,117.504316,474.367954
3584.000000,476.946051,117.660694,475.274993
3840.000000,473.893278,117.931291,474.037072
4096.000000,472.231774,117.201189,473.753972
4352.000000,472.041066,117.739422,477.322306
4608.000000,473.227566,118.416685,478.656808
4864.000000,472.711927,118.326188,478.793279
5120.000000,473.524779,118.241524,477.978775
5376.000000,473.484749,118.409902,479.130801
5632.000000,473.093251,118.517544,478.638455
5888.000000,473.951911,118.584598,478.474889
6144.000000,474.448718,116.648154,477.336636
6400.000000,474.723142,118.807534,477.678889
6656.000000,475.873736,118.544440,477.075971
6912.000000,474.626365,118.881510,477.402033
7168.000000,475.876476,119.048138,477.673169
7424.000000,475.186365,119.110251,477.225289
7680.000000,475.608395,119.272662,477.215658
7936.000000,476.061077,119.264560,476.392312
8192.000000,476.182275,120.025924,475.385645
